termino_cliente,codigo_catalogo
pistola neumatica,YT09511
pistola de impacto,YT09511
llave de impacto neumatica,YT09511
linterna larga,YT08518
linterna imantada,YT085051
lampara imantada,YT085051
linterna de cabeza,L-HEAD-1
lampara de cabeza,L-HEAD-1
linterna frontal,L-HEAD-1
lampara frontal,L-HEAD-1
llave de impacto inalambrica,YT8277935
llave de impacto bateria,YT8277935
pistola de impacto inalambrica,YT8277935
llave p/c, llave punta y corona
jgo llave p/c, juego de llaves punta corona,YT03652,RZ136-25
